show_id,type,title,director,cast,average_rating,country,date_added,release_year,rating,duration,listed_in,description
s654,TV Show,The Force: Manchester,,,3.69,,,2015,16+,1 Season,Documentary\Special Interest,In Greater Manchester the Police are under pressure like never before with officer numbers cut to less than 7000 and more than half a million emergency call outs the force is facing its toughest test in years. This fast paced immersive series will show the true nature of crime and the pressure of modern policing from the perspective of the cops on the ground.
s3129,TV Show,Bear's Wild Weekends,,Bear Grylls\Miranda Hart\Jonathan Ross,4.23,,,2012,TV-G,1 Season,Action\Documentary,Takumi Harada is a talented baseball player. Takumi meets Go Nagakura a catcher who can catch Takumi's fastest pitches. They join the school baseball team and grow together as a battery unit. (C)2016 AtsukoAsanoKADOKAWA /Animation Battery Committee
s1903,TV Show,Land of the Lustrous,,,3.35,,,2017,TV-14,1 Season,Action\Adventure\Anime,Phos the youngest Houseki must create an encyclopedia of natural history in a risky world where Moon Dwellers hunt their kind.
s2517,Movie,Faith Based,Vincent Masciale,Luke Barnett\Tanner Thomason\Margaret Cho,3.1,,,2020,13+,92 min,Comedy\Drama\Science fiction,Two children in 1917 take a photograph believed by some to be the first scientific evidence of the existence of fairies. Based on a true story.
s2887,Movie,Chairlift,,,4.19,,,2008,NR,30 min,Music Videos and Concerts,Celebrity Home Raiders takes viewers on tours of famous people's homes to find treasures that they can auction off for charity. Looking through the homes with the stars are host Kit Hoover and auctioneers Darren Julien and Martin Nolan who discuss each item's sentimental value while haggling with the star over what it would be worth at auction.
s916,Movie,Stained,Karen Lam,,3.21,,,2011,16+,91 min,Suspense,"Isabelle struggles to hold her loveless existence and her sanity together as loneliness continue to mount. When her former lover"" James"" suddenly appear in her shop she decides to chance another romantic relationship. As the twists and turns of Isabelle's present reveal and resurrect her history paranoia sets in. To whom does Isabelle's romance pose the greatest threat?"
s7873,Movie,Blippi Explores a Water Park!,Moonbug Entertainment,,2.9,,,2021,ALL,28 min,Kids,An innocent family reunion descends into chaos when simmering resentments rise to the surface. The families gather to grill toss horseshoes and catch up - but this year things seems to get particularly ugly. Despite doing their best to keep the peace nothing seems to be able to slow the downward spiral of the usually jovial gathering.
s1917,TV Show,L.A. Burning: The Riots 25 Years Later,,George Holliday\John Singleton,1.43,,,2017,TV-14,1 Season,TV Shows,An original two-hour documentary marking the 25th anniversary of the infamous L.A. riots that reexamines the intense and life-changing events through the eyes of those who lived it.
s4738,Movie,Bad Blood,Tim Reis,Mary Malloy\Vikas Adam\Troy Halverson,2.6,,,2016,18+,80 min,Horror,Afflicted with a terminal illness John Bernard Books the last of the legendary gunfighters quietly returns to Carson City for medical attention from his old friend Dr. Hostetler.
s5456,Movie,Haikara-san: Here Comes Miss Modern Pt. 1,Kazuhiro Furuhashi,Mamoru Miyano\Saori Hayami\Yûki Kaji,3.01,,,2017,16+,97 min,Anime,T-Rex Ranch brings you another awesome fun-packed collection of Jurassic dinosaur videos! Watch your favourite park rangers get into all sorts of wonderful adventures coming across lots of scary dinosaurs awesome toys and much more!
s6466,TV Show,Chasing Angel,,C. Andrew Garrison\Talia Liccardello,2.45,,,2019,TV-14,1 Season,Romance\Suspense,Baskar a young man takes up the desalination of seawater as his ambition because he wants to make a difference. However things turn when he meets a man who promises to finance his project.
s2694,Movie,Dear Comrade,Bharat Kamma,Vijay Deverakonda\Rashmika Mandanna,4.31,India,,2019,13+,167 min,Action\Drama\Romance,Ex-Con Nick has a problem. One of the most vicious loan sharks in the city is cashing in on all his debts and unfortunately Nick is on his list. Given 24 hours to raise $100000 Nick and his partner Bing embark on violent crime filled thrill ride to try and raise the cash before time runs out.
s1173,Movie,Rex the Devil Horse (Silent),Fred Jackman,Rex the Wonder Horse\Yakima Canutt,1.15,,,1926,NR,53 min,Western,It's 1874 and young Dave Carson and his colt Rex are part of a wagon train. When Indians attack and wipe out the train the two escape going separate ways. Six years later Dave is a scout for the Army and Rex is the Devil Horse.
s999,Movie,Sinful Davey,John Huston,Pamela Franklin\John Hurt,2.14,,,1969,13+,95 min,Comedy,In 1821 a young Scotsman decides to be a criminal like his father but falls in love first.
